road,id,model_type,name,lat,lon,length,condition
N1,100000,source,LRPS,23.7060278,90.443333,0.0,R
N1,100001,link,LRPSa,23.7029167,90.4504167,185.99999999999994,R
N1,100002,bridge,LRP001a,23.69873866,90.4588610799999,11.3,A
N1,100003,link,LRP002,23.697888600000002,90.4605833,2175.0,R
N1,100004,bridge,LRP004b,23.6946638363636,90.4877749181818,6.6,A
N1,100005,link,LRP005,23.6947497,90.48849969999999,3763.0,R
N1,100006,bridge,LRP008b,23.7050598925675,90.5232141463513,397.0,C
N1,100007,link,LRP010,23.702527800000002,90.5273882,1000.0,R
N1,100008,bridge,LRP010a,23.6964000869109,90.5350989801047,8.0,B
N1,100009,link,LRP011a,23.694360800000002,90.5376108,0.0,R
N1,100010,bridge,LRP010c,23.6943023869158,90.5377073719626,6.3,A
N1,100011,link,LRP011b,23.6922774,90.5410552,458.00000000000017,R
N1,100012,bridge,LRP011c,23.6909119315151,90.5454624957575,10.6,B
N1,100013,link,LRP012c,23.6904163,90.546583,0.0,R
N1,100014,bridge,LRP012a,23.6884123260204,90.5485585290816,9.3,A
N1,100015,link,LRP013,23.6865274,90.5504167,0.0,R
N1,100016,bridge,LRP013a,23.685583027027,90.551207981081,27.5,A
N1,100017,link,LRP013a,23.6854997,90.5512778,0.0,R
N1,100018,bridge,LRP013b,23.6853619779342,90.5513591765258,27.5,A
N1,100019,link,LRP014,23.678166,90.5556111,0.0,R
N1,100020,bridge,LRP014a,23.6778035,90.5558194349999,11.9,A
N1,100021,link,LRP015,23.670916000000002,90.55977779999999,38.999999999997925,R
N1,100022,bridge,LRP016a,23.6633090696149,90.563856994797,5.55,B
N1,100023,link,LRP016,23.662833300000003,90.56411109999999,1327.9999999999993,R
N1,100024,bridge,LRP017b,23.6544257051136,90.576730225,159.5,B
N1,100025,link,LRP017c,23.6540556,90.57727709999999,0.0,R
N1,100026,bridge,LRP018b,23.65397226,90.57741042,20.45,A
N1,100027,link,LRP017d,23.6539167,90.5774993,289.99999999999915,R
N1,100028,bridge,LRP018a,23.6515705663716,90.5814943946902,20.0,B
N1,100029,link,LRP018a,23.650888899999998,90.5826382,41.00000000000037,R
N1,100030,bridge,LRP018c,23.6497543993548,90.5845490085483,25.5,A
N1,100031,link,LRP019,23.647610800000002,90.588083,0.0,R
N1,100032,bridge,LRP019a,23.6459685949152,90.5892119813559,40.5,C
N1,100033,link,LRP019a,23.644944100000004,90.5899163,646.0000000000008,R
N1,100034,bridge,LRP020a,23.6379543715384,90.5936673976923,6.0,A
N1,100035,link,LRP020a,23.6358608,90.5948052,297.9999999999983,R
N1,100036,bridge,LRP020b,23.63380522,90.597394085,10.4,B
N1,100037,link,LRP020c,23.6335552,90.5976941,82.00000000000074,R
