road,id,model_type,condition,name,lat,lon,length
N1,1000000,sourcesink,R,SoSi1,23.7060278,90.443333,0.0
N1,1000001,link,R,,23.7029167,90.4504167,185.99999999999994
N1,1000002,bridge,A,,23.69873866,90.4588610799999,11.3
N1,1000003,link,R,,23.697888600000002,90.4605833,2175.0
N1,1000004,bridge,A,,23.6946638363636,90.4877749181818,6.6
N1,1000005,link,R,,23.6947497,90.48849969999999,3503.0
N1,1000006,intersection,R,,23.706083300000003,90.5215271,0.0
N1,1100006,link,R,,23.706083300000003,90.5215271,0.0
N1,1000007,bridge,C,,23.7050598925675,90.5232141463513,397.0
N1,1000008,link,R,,23.702527800000002,90.5273882,1000.0
N1,1000009,bridge,B,,23.6964000869109,90.5350989801047,8.0
N1,1000010,link,R,,23.694360800000002,90.5376108,0.0
N1,1000011,bridge,A,,23.6943023869158,90.5377073719626,6.3
N1,1000012,link,R,,23.6922774,90.5410552,458.00000000000017
N1,1000013,bridge,B,,23.6909119315151,90.5454624957575,10.6
N1,1000014,link,R,,23.6904163,90.546583,0.0
N1,1000015,bridge,A,,23.6884123260204,90.5485585290816,9.3
N1,1000016,link,R,,23.6865274,90.5504167,0.0
N1,1000017,bridge,A,,23.685583027027,90.551207981081,27.5
N1,1000018,link,R,,23.6854997,90.5512778,0.0
N1,1000019,bridge,A,,23.6853619779342,90.5513591765258,27.5
N1,1000020,link,R,,23.678166,90.5556111,0.0
N1,1000021,bridge,A,,23.6778035,90.5558194349999,11.9
N1,1000022,link,R,,23.670916000000002,90.55977779999999,38.999999999997925
N1,1000023,bridge,B,,23.6633090696149,90.563856994797,5.55
N1,1000024,link,R,,23.662833300000003,90.56411109999999,1327.9999999999993
N1,1000025,bridge,B,,23.6544257051136,90.576730225,159.5
N1,1000026,link,R,,23.6540556,90.57727709999999,0.0
N1,1000027,bridge,A,,23.65397226,90.57741042,20.45
N1,1000028,link,R,,23.6539167,90.5774993,289.99999999999915
N1,1000029,bridge,B,,23.6515705663716,90.5814943946902,20.0
N1,1000030,link,R,,23.650888899999998,90.5826382,41.00000000000037
N1,1000031,bridge,A,,23.6497543993548,90.5845490085483,25.5
N1,1000032,link,R,,23.647610800000002,90.588083,0.0
N1,1000033,bridge,C,,23.6459685949152,90.5892119813559,40.5
N1,1000034,link,R,,23.644944100000004,90.5899163,646.0000000000008
N1,1000035,bridge,A,,23.6379543715384,90.5936673976923,6.0
N1,1000036,link,R,,23.6358608,90.5948052,297.9999999999983
N1,1000037,bridge,B,,23.63380522,90.597394085,10.4
N1,1000038,link,R,,23.6335552,90.5976941,82.00000000000074
N1,1000039,bridge,A,,23.6284668507692,90.6023015723077,89.2
N1,1000040,link,R,,23.6262771,90.60422220000001,752.9999999999966
N1,1000041,bridge,B,,23.6198832229508,90.6083528852459,5.5
N1,1000042,link,R,,23.6195271,90.60858329999999,0.0
N1,1000043,bridge,A,,23.6176407964705,90.6095506105882,224.8
N1,1000044,link,R,,23.6173604,90.6096944,0.0
N1,1000045,bridge,A,,23.613587384385,90.6109029561497,119.32
N1,1000046,link,R,,23.6095556,90.6121944,65.00000000000128
N1,1000047,bridge,C,,23.6027595885583,90.6155316965675,900.0
N1,1000048,link,R,,23.6018611,90.6159722,1135.9999999999993
N1,1000049,bridge,A,,23.5929818827893,90.6279699370919,5.6
N1,1000050,link,R,,23.5917497,90.6293327,0.0
N1,1000051,bridge,A,,23.5908088547468,90.6302368598101,5.5
N1,1000052,link,R,,23.5896108,90.6313882,0.0
N1,1000053,bridge,A,,23.58631812254,90.6345094207093,5.6
N1,1000054,link,R,,23.583749700000002,90.6369441,165.0000000000027
N1,1000055,bridge,A,,23.5779800248475,90.6419193089939,172.1
N1,1000056,link,R,,23.577916000000002,90.6419719,789.0000000000015
N1,1000057,bridge,A,,23.5716306256965,90.6454159236842,29.77
N1,1000058,link,R,,23.5666111,90.6481663,0.0
N1,1000059,bridge,A,,23.5660033956521,90.6486237247282,34.7
N1,1000060,link,R,,23.5639167,90.6501944,647.000000000002
N1,1000061,bridge,A,,23.5591910296296,90.6557475703703,27.4
N1,1000062,link,R,,23.559027800000003,90.6559444,452.0000000000017
N1,1000063,bridge,A,,23.5557082901265,90.6597414245569,29.85
N1,1000064,link,R,,23.5538056,90.66197220000001,241.99999999999733
N1,1000065,bridge,A,,23.5517421907216,90.6643538752577,28.9
N1,1000066,link,R,,23.548749700000002,90.6678327,0.0
N1,1000067,bridge,A,,23.5477377446428,90.6690554098214,9.1
N1,1000068,link,R,,23.5474163,90.6694438,520.0000000000032
N1,1000069,bridge,A,,23.54268543125,90.6748292125,72.49
N1,1000070,link,R,,23.542583,90.6749438,0.0
N1,1000071,bridge,C,,23.5393910168,90.6784577888,5.1
N1,1000072,link,R,,23.5362497,90.681916,348.99999999999665
N1,1000073,bridge,A,,23.5327751898617,90.6858701078341,9.5
N1,1000074,link,R,,23.5301938,90.688833,0.0
N1,1000075,bridge,A,,23.5301519626506,90.6897951837349,8.4
N1,1000076,link,R,,23.529916,90.6952219,335.9999999999985
N1,1000077,bridge,A,,23.5303844733,90.7024402743,1408.8
N1,1000078,link,R,,23.5307493,90.70827779999999,1512.9999999999982
N1,1000079,bridge,C,,23.5324186,90.7242807234,21.8
N1,1000080,link,R,,23.532721600000002,90.7269993,0.0
N1,1000081,bridge,B,,23.5317587831999,90.7291780095,6.0
N1,1000082,link,R,,23.528916,90.7356108,1661.999999999999
N1,1000083,bridge,C,,23.5298050611,90.75825325,16.5
N1,1000084,link,R,,23.5299993,90.7615,1184.9999999999952
N1,1000085,bridge,C,,23.5307655282208,90.7800797251533,3.9
N1,1000086,link,R,,23.5308049,90.7811104,0.0
N1,1000087,intersection,R,,23.5307493,90.7816104,0.0
N1,1000088,link,R,,23.530666,90.7821938,880.9999999999932
N1,1000089,bridge,C,,23.5308683409424,90.7918075171727,6.5
N1,1100089,link,R,,23.530693799999998,90.7924441,0.0
N1,1000090,intersection,R,,23.530693799999998,90.7924441,0.0
N1,1000091,link,R,,23.530860399999998,90.80022220000001,1000.0
N1,1000092,bridge,A,,23.5318234765,90.8110155135,15.9
