,road,km,LRPName,condition,lat,lon
0,N1,1.8,LRP001a,A,23.7028888888888,90.4503888888889
1,N1,4.925,LRP004b,A,23.6936111111111,90.4788333333333
2,N1,8.976,LRP008b,A,23.7045833,90.5188327
3,N1,10.88,LRP010b,A,23.6998333333333,90.5307222222222
4,N1,10.897,LRP010c,A,23.6996666666666,90.5307222222222
5,N1,11.296,LRP011a,A,23.6973611111111,90.5338333333333
6,N1,12.239,LRP012a,A,23.6923333333333,90.541
7,N1,12.253,LRP012b,A,23.6925555555555,90.5411388888888
8,N1,12.66,LRP013a,A,23.6854997,90.5512778
11,N1,12.688,LRP013b,A,23.6853619779342,90.5513591765258
12,N1,13.574,LRP014a,A,23.6856111111111,90.5511944444444
13,N1,17.222,LRP018b,A,23.6506944,90.5829993
14,N1,17.222,LRP018a,A,23.6508889,90.5826382
15,N1,18.093,LRP018c,A,23.6497543993548,90.5845490085483
16,N1,19.76,LRP020a,A,23.6468055555555,90.5899166666666
17,N1,21.184,LRP021c,A,23.6284668507692,90.6023015723077
18,N1,21.184,LRP021d,A,23.6284668507692,90.6023015723077
20,N1,22.596,LRP023a,A,23.6242777777777,90.6054722222222
21,N1,23.081,LRP023d,A,23.613587384385,90.6109029561497
22,N1,23.081,LRP023c,A,23.613587384385,90.6109029561497
24,N1,24.393,LRP024a,A,23.6018611,90.6159722
25,N1,26.115,LRP026a,A,23.598,90.6221944444444
26,N1,26.452,LRP026b,A,23.5961666666666,90.6246944444444
27,N1,27.12,LRP027a,A,23.5917499999999,90.6293333333333
28,N1,28.315,LRP028b,A,23.577916,90.6419719
29,N1,28.315,LRP028a,A,23.5825827,90.6381386
31,N1,29.138,LRP029a,A,23.572166,90.6451108
32,N1,29.138,LRP029b,A,23.5718327,90.6453052
35,N1,29.842,LRP030a,A,23.5723611111111,90.6451666666666
36,N1,30.908,LRP031a,A,23.5590278,90.6559444
39,N1,31.472,LRP032a,A,23.5523333,90.6636667
