,road_segment,N1,Chainage_start,Chainage_end,Heavy Truck,Medium Truck,Small Truck,mean
0,N1-1,N1,0.0,0.0,531.0,5998.0,1350.0,2626.3333333333335
1,N1-2,N1,0.0,4.0,531.0,5998.0,1350.0,2626.3333333333335
2,N1-3,N1,4.0,7.0,88.0,2625.0,2118.0,1610.3333333333333
3,N1-4,N1,7.0,8.0,163.0,2930.0,1463.0,1518.6666666666667
4,N1-5,N1,8.0,11.0,163.0,4692.0,3349.0,2734.6666666666665
5,N1-6,N1,11.0,15.0,163.0,4692.0,3349.0,2734.6666666666665
6,N1-7,N1,15.0,20.0,163.0,4692.0,3349.0,2734.6666666666665
7,N1-8,N1,20.0,23.0,299.0,5156.0,1060.0,2171.6666666666665
8,N1-9,N1,23.0,30.0,299.0,5156.0,1060.0,2171.6666666666665
9,N1-10,N1,30.0,36.0,299.0,5156.0,1060.0,2171.6666666666665
10,N1-11,N1,36.0,38.0,299.0,5156.0,1060.0,2171.6666666666665
11,N1-12,N1,38.0,45.0,353.0,4856.0,889.0,2032.6666666666667
12,N1-13,N1,45.0,47.0,353.0,4856.0,889.0,2032.6666666666667
13,N1-14,N1,47.0,55.0,353.0,4856.0,889.0,2032.6666666666667
14,N1-15,N1,55.0,62.0,353.0,4856.0,889.0,2032.6666666666667
15,N1-16,N1,62.0,69.0,353.0,4856.0,889.0,2032.6666666666667
16,N1-17,N1,69.0,75.0,322.0,5429.0,721.0,2157.3333333333335
17,N1-18,N1,75.0,81.0,322.0,5429.0,721.0,2157.3333333333335
18,N1-19,N1,81.0,85.0,322.0,5429.0,721.0,2157.3333333333335
19,N1-20,N1,85.0,87.0,322.0,5429.0,721.0,2157.3333333333335
20,N1-21,N1,87.0,89.0,307.0,5661.0,809.0,2259.0
21,N1-22,N1,89.0,91.0,307.0,5661.0,809.0,2259.0
22,N1-23,N1,91.0,105.0,307.0,5661.0,809.0,2259.0
23,N1-24,N1,105.0,119.0,307.0,5661.0,809.0,2259.0
24,N1-25,N1,119.0,138.0,428.0,3676.0,794.0,1632.6666666666667
25,N1-26,N1,138.0,140.0,428.0,3676.0,794.0,1632.6666666666667
26,N1-27,N1,140.0,143.0,677.0,4804.0,1204.0,2228.3333333333335
27,N1-28,N1,143.0,145.0,677.0,4804.0,1204.0,2228.3333333333335
28,N1-29,N1,145.0,149.0,352.0,5765.0,1594.0,2570.3333333333335
29,N1-30,N1,149.0,157.0,415.0,5049.0,1091.0,2185.0
30,N1-31,N1,157.0,161.0,352.0,5765.0,1594.0,2570.3333333333335
31,N1-32,N1,161.0,167.0,371.0,3986.0,1014.0,1790.3333333333333
32,N1-33,N1,167.0,181.0,371.0,3986.0,1014.0,1790.3333333333333
33,N1-34,N1,181.0,194.0,371.0,3986.0,1014.0,1790.3333333333333
34,N1-35,N1,194.0,206.0,1101.0,5224.0,1228.0,2517.6666666666665
35,N1-36,N1,206.0,228.0,1101.0,5224.0,1228.0,2517.6666666666665
36,N1-37,N1,228.40599999999998,232.75400000000002,21.0,1105.0,808.0,644.6666666666666
37,N1-38,N1,232.75400000000002,247.893,21.0,1105.0,808.0,644.6666666666666
38,N1-39,N1,247.893,250.445,21.0,1105.0,808.0,644.6666666666666
39,N1-40,N1,250.445,252.956,21.0,1105.0,808.0,644.6666666666666
40,N1-41,N1,252.956,255.725,21.0,1105.0,808.0,644.6666666666666
41,N1-42,N1,255.725,256.809,30.0,1077.0,795.0,634.0
42,N1-43,N1,256.809,263.744,30.0,1077.0,795.0,634.0
43,N1-44,N1,263.744,264.07,24.0,1181.0,882.0,695.6666666666666
44,N1-45,N1,264.07,265.41,24.0,1181.0,882.0,695.6666666666666
45,N1-46,N1,265.41,274.982,24.0,1181.0,882.0,695.6666666666666
46,N1-47,N1,274.982,278.013,23.0,786.0,1237.0,682.0
47,N1-48,N1,278.013,289.612,23.0,786.0,1237.0,682.0
48,N1-49,N1,289.612,289.974,23.0,786.0,1237.0,682.0
49,N1-50,N1,289.974,297.441,23.0,786.0,1237.0,682.0
50,N1-51,N1,297.441,307.582,42.0,2364.0,1215.0,1207.0
51,N1-52,N1,307.582,315.728,42.0,2364.0,1215.0,1207.0
52,N1-53,N1,315.728,316.356,42.0,2364.0,1215.0,1207.0
53,N1-54,N1,316.356,323.842,42.0,2364.0,1215.0,1207.0
54,N1-55,N1,323.842,327.188,44.0,774.0,249.0,355.6666666666667
55,N1-56,N1,327.188,330.874,44.0,774.0,249.0,355.6666666666667
56,N1-57,N1,330.874,332.066,44.0,774.0,249.0,355.6666666666667
57,N1-58,N1,332.066,332.87699999999995,44.0,774.0,249.0,355.6666666666667
58,N1-59,N1,332.87699999999995,337.31,39.0,1009.0,549.0,532.3333333333334
59,N1-60,N1,337.31,343.559,35.0,595.0,159.0,263.0
60,N1-61,N1,343.559,350.05400000000003,35.0,595.0,159.0,263.0
61,N1-62,N1,350.05400000000003,370.98199999999997,35.0,595.0,159.0,263.0
62,N1-63,N1,370.98199999999997,373.475,35.0,595.0,159.0,263.0
63,N1-64,N1,373.475,381.481,35.0,595.0,159.0,263.0
64,N1-65,N1,381.481,398.205,24.0,455.0,137.0,205.33333333333334
65,N1-66,N1,398.205,408.434,24.0,455.0,137.0,205.33333333333334
66,N1-67,N1,408.434,416.04400000000004,24.0,455.0,137.0,205.33333333333334
67,N1-68,N1,416.04400000000004,428.908,24.0,455.0,137.0,205.33333333333334
68,N1-69,N1,428.908,462.254,24.0,455.0,137.0,205.33333333333334
69,N102-1,N102,0.0,10.206,231.0,1170.0,336.0,579.0
70,N102-2,N102,10.206,20.658,231.0,1170.0,336.0,579.0
71,N102-3,N102,20.658,25.473000000000003,231.0,1170.0,336.0,579.0
72,N102-4,N102,25.473000000000003,38.866,346.0,840.0,575.0,587.0
73,N102-5,N102,38.866,44.427,346.0,840.0,575.0,587.0
74,N102-6,N102,44.427,56.883,346.0,840.0,575.0,587.0
75,N102-7,N102,56.883,63.06100000000001,346.0,840.0,575.0,587.0
76,N102-8,N102,63.06100000000001,71.456,98.0,1352.0,1152.0,867.3333333333334
77,N102-9,N102,71.456,77.271,98.0,1352.0,1152.0,867.3333333333334
78,N102-10,N102,77.271,83.382,98.0,1352.0,1152.0,867.3333333333334
79,N104-1,N104,0.0,1.8780000000000001,90.0,675.0,406.0,390.3333333333333
80,N104-2,N104,1.8780000000000001,4.35,90.0,675.0,406.0,390.3333333333333
81,N104-3,N104,4.35,8.315,90.0,675.0,406.0,390.3333333333333
82,N104-4,N104,8.315,14.809000000000001,90.0,675.0,406.0,390.3333333333333
83,N104-5,N104,14.809000000000001,17.13,67.0,820.0,426.0,437.6666666666667
84,N104-6,N104,17.13,23.823,67.0,820.0,426.0,437.6666666666667
85,N104-7,N104,23.823,34.12,67.0,820.0,426.0,437.6666666666667
86,N104-8,N104,34.12,36.033,67.0,820.0,426.0,437.6666666666667
87,N104-9,N104,36.033,43.03,46.0,1263.0,625.0,644.6666666666666
88,N104-10,N104,43.03,45.2,46.0,1263.0,625.0,644.6666666666666
89,N104-11,N104,45.2,49.63,19.0,675.0,496.0,396.6666666666667
90,N105-1,N105,0.0,6.309,338.0,3887.0,774.0,1666.3333333333333
91,N105-2,N105,6.309,12.802999999999999,245.0,3444.0,1481.0,1723.3333333333333
92,N105-3,N105,12.802999999999999,21.221,223.0,4762.0,1090.0,2025.0
93,N105-4,N105,21.221,28.61,320.0,3715.0,1155.0,1730.0
94,N105-5,N105,28.61,36.158,320.0,3715.0,1155.0,1730.0
95,N105-6,N105,36.158,45.998000000000005,320.0,3715.0,1155.0,1730.0
96,N105-7,N105,45.998000000000005,48.881,328.0,3092.0,1796.0,1738.6666666666667
97,N107-1,N107,0.0,2.957,0.0,338.0,475.0,271.0
98,N107-2,N107,2.957,5.265,0.0,338.0,475.0,271.0
99,N107-3,N107,5.265,10.542,0.0,338.0,475.0,271.0
100,N108-1,N108,0.0,22.541,0.0,180.0,130.0,103.33333333333333
101,N109-1,N109,0.0,1.585,0.0,180.0,130.0,103.33333333333333
102,N109-2,N109,1.585,2.51,0.0,180.0,130.0,103.33333333333333
103,N110-1,N110,0.0,1.89,0.0,254.0,410.0,221.33333333333334
104,N110-2,N110,1.89,8.2,0.0,254.0,410.0,221.33333333333334
105,N111-1,N111,0.0,12.66,0.0,254.0,410.0,221.33333333333334
106,N2-1,N2,0.0,2.313,239.0,4475.0,1996.0,2236.6666666666665
107,N2-2,N2,2.313,6.0760000000000005,227.0,4684.0,1904.0,2271.6666666666665
108,N2-3,N2,6.0760000000000005,11.110999999999999,237.0,4415.0,1904.0,2185.3333333333335
109,N2-4,N2,11.110999999999999,11.977,237.0,4415.0,1904.0,2185.3333333333335
110,N2-5,N2,11.977,30.225,244.0,1432.0,1041.0,905.6666666666666
111,N2-6,N2,30.225,33.536,70.0,1743.0,976.0,929.6666666666666
112,N2-7,N2,33.536,43.097,70.0,1743.0,976.0,929.6666666666666
113,N2-8,N2,43.097,54.606,201.0,2039.0,974.0,1071.3333333333333
114,N2-9,N2,54.606,63.968999999999994,436.0,1971.0,896.0,1101.0
115,N2-10,N2,63.968999999999994,70.57600000000001,436.0,1971.0,896.0,1101.0
116,N2-11,N2,70.57600000000001,73.533,436.0,1971.0,896.0,1101.0
117,N2-12,N2,73.533,85.823,329.0,1465.0,1081.0,958.3333333333334
118,N2-13,N2,85.823,86.413,205.0,2203.0,596.0,1001.3333333333334
119,N2-14,N2,86.413,116.294,205.0,2203.0,596.0,1001.3333333333334
120,N2-15,N2,116.294,141.309,270.0,1818.0,958.0,1015.3333333333334
121,N2-16,N2,141.309,145.961,206.0,4176.0,708.0,1696.6666666666667
122,N2-17,N2,145.961,181.657,338.0,1131.0,391.0,620.0
123,N2-18,N2,181.657,185.77,338.0,1131.0,391.0,620.0
124,N2-19,N2,185.77,190.892,321.0,669.0,504.0,498.0
125,N2-20,N2,190.892,205.083,321.0,669.0,504.0,498.0
126,N2-21,N2,205.083,215.832,198.0,1089.0,529.0,605.3333333333334
127,N2-22,N2,215.832,224.044,198.0,1089.0,529.0,605.3333333333334
128,N2-23,N2,224.044,225.373,83.0,613.0,573.0,423.0
129,N2-24,N2,225.373,227.757,83.0,613.0,573.0,423.0
