,length,condition,lat,lon,intersection,model_type,id,road,name,chainage,economic_importance,road_segment
0,4.0,,23.7060278,90.443333,,sourcesink,10000,N1,,0.004,24392720.0,N1-2
1,1800.0,N,23.70238323,90.45109704,0,link,10001,N1,,1.804,24392720.0,N1-2
2,11.3,A,23.69873866,90.45886108,,bridge,10002,N1,,1.8153000000000001,24392720.0,N1-2
3,3125.0,N,23.69670125,90.473318,0,link,10003,N1,,4.940300000000001,12444000.0,N1-3
4,6.6,A,23.69466384,90.48777492,,bridge,10004,N1,,4.9469,12444000.0,N1-3
5,3838.0,N,23.70037357,90.50465101,0,link,10005,N1,,8.7849,21540480.0,N1-5
6,4.0,,23.706083300000003,90.5215271,N2,intersection,10006,N1,,8.7889,21540480.0,N1-5
7,213.0,N,23.705571600000003,90.52237062,0,link,10007,N1,,9.0019,21540480.0,N1-5
8,394.23,A,23.70505989,90.52321415,,bridge,10008,N1,,9.39613,21540480.0,N1-5
9,1567.0,N,23.70072999,90.52915656,0,link,10009,N1,,10.96313,21540480.0,N1-5
10,8.0,B,23.69640009,90.53509898,,bridge,10010,N1,,10.971129999999999,21540480.0,N1-5
11,337.0,N,23.69539535,90.53633653,0,link,10011,N1,,11.308129999999998,21540480.0,N1-6
12,6.3,A,23.69439061,90.53757408,,bridge,10012,N1,,11.314429999999998,21540480.0,N1-6
13,17.0,N,23.694346499999998,90.53764072,0,link,10013,N1,,11.331429999999997,21540480.0,N1-6
14,6.3,A,23.69430239,90.53770737,,bridge,10014,N1,,11.337729999999997,21540480.0,N1-6
15,399.0,N,23.69333127,90.53931288,0,link,10015,N1,,11.736729999999998,21540480.0,N1-6
16,8.3,A,23.69236015,90.54091839,,bridge,10016,N1,,11.745029999999998,21540480.0,N1-6
17,512.0,N,23.69163604,90.54319044,0,link,10017,N1,,12.257029999999999,21540480.0,N1-6
18,10.6,B,23.69091193,90.5454625,,bridge,10018,N1,,12.267629999999999,21540480.0,N1-6
19,128.0,N,23.69066412,90.54602275,0,link,10019,N1,,12.395629999999999,21540480.0,N1-6
20,4.0,,23.6904163,90.546583,N105,intersection,10020,N1,,12.399629999999998,21540480.0,N1-6
21,303.0,N,23.68941431,90.54757076,0,link,10021,N1,,12.70263,21540480.0,N1-6
22,9.3,A,23.68841233,90.54855853,,bridge,10022,N1,,12.711929999999999,21540480.0,N1-6
23,14.0,N,23.68836603,90.54860417,0,link,10023,N1,,12.725929999999998,21540480.0,N1-6
24,6.1,A,23.68831973,90.54864981,,bridge,10024,N1,,12.732029999999998,21540480.0,N1-6
25,407.0,N,23.68695138,90.54992889,0,link,10025,N1,,13.139029999999998,21540480.0,N1-6
26,27.5,A,23.68558303,90.55120798,,bridge,10026,N1,,13.166529999999998,21540480.0,N1-6
27,28.0,N,23.6854725,90.55128358,0,link,10027,N1,,13.194529999999999,21540480.0,N1-6
28,27.5,A,23.68536198,90.55135918,,bridge,10028,N1,,13.222029999999998,21540480.0,N1-6
29,886.0,N,23.68158274,90.55358931,0,link,10029,N1,,14.108029999999998,21540480.0,N1-6
30,11.9,A,23.6778035,90.55581943,,bridge,10030,N1,,14.119929999999998,21540480.0,N1-6
31,1891.0,N,23.67055628,90.55983821,0,link,10031,N1,,16.01093,21540480.0,N1-7
32,5.55,B,23.66330907,90.56385699,,bridge,10032,N1,,16.016479999999998,21540480.0,N1-7
33,1669.0,N,23.65886739,90.57029361,0,link,10033,N1,,17.68548,21540480.0,N1-7
34,159.52,C,23.65442571,90.57673023,,bridge,10034,N1,,17.845,21540480.0,N1-7
35,88.0,N,23.65419898,90.57707032,0,link,10035,N1,,17.933,21540480.0,N1-7
36,20.45,A,23.65397226,90.57741042,,bridge,10036,N1,,17.95345,21540480.0,N1-7
37,0.0,N,23.65397226,90.57741042,0,link,10037,N1,,17.95345,21540480.0,N1-7
38,20.5,A,23.65397226,90.57741042,,bridge,10038,N1,,17.97395,21540480.0,N1-7
39,500.0,N,23.65277141,90.57945241,0,link,10039,N1,,18.47395,21540480.0,N1-7
40,20.0,B,23.65157057,90.58149439,,bridge,10040,N1,,18.493949999999998,21540480.0,N1-7
41,371.0,N,23.65066248,90.5830217,0,link,10041,N1,,18.864949999999997,21540480.0,N1-7
42,25.5,A,23.6497544,90.58454901,,bridge,10042,N1,,18.890449999999998,21540480.0,N1-7
43,0.0,N,23.6497544,90.58454901,0,link,10043,N1,,18.890449999999998,21540480.0,N1-7
44,25.5,B,23.6497544,90.58454901,,bridge,10044,N1,,18.91595,21540480.0,N1-7
45,649.0,N,23.647861499999998,90.58688049,0,link,10045,N1,,19.56495,21540480.0,N1-7
46,40.5,C,23.64596859,90.58921198,,bridge,10046,N1,,19.60545,21540480.0,N1-7
47,0.0,N,23.64596859,90.58921198,0,link,10047,N1,,19.60545,21540480.0,N1-7
48,40.33,B,23.64596859,90.58921198,,bridge,10048,N1,,19.645780000000002,21540480.0,N1-7
49,1018.0,N,23.64196148,90.59143969,0,link,10049,N1,,20.663780000000003,19930480.0,N1-8
50,6.0,A,23.63795437,90.59366740000002,,bridge,10050,N1,,20.669780000000003,19930480.0,N1-8
51,637.0,N,23.6358798,90.59553074,0,link,10051,N1,,21.306780000000003,19930480.0,N1-8
52,10.4,B,23.63380522,90.59739409,,bridge,10052,N1,,21.317180000000004,19930480.0,N1-8
53,787.0,N,23.63113604,90.59984783,0,link,10053,N1,,22.104180000000003,19930480.0,N1-8
54,89.75,A,23.62846685,90.60230157,,bridge,10054,N1,,22.19393,19930480.0,N1-8
55,0.0,N,23.62846685,90.60230157,0,link,10055,N1,,22.19393,19930480.0,N1-8
56,86.92,A,23.62846685,90.60230157,,bridge,10056,N1,,22.28085,19930480.0,N1-8
57,1144.0,N,23.62417504,90.60532723,0,link,10057,N1,,23.42485,19930480.0,N1-9
58,5.5,B,23.61988322,90.60835289,,bridge,10058,N1,,23.43035,19930480.0,N1-9
59,268.0,N,23.61876201,90.60895175,0,link,10059,N1,,23.69835,19930480.0,N1-9
60,224.82,B,23.6176408,90.60955061,,bridge,10060,N1,,23.923170000000002,19930480.0,N1-9
61,0.0,N,23.6176408,90.60955061,0,link,10061,N1,,23.923170000000002,19930480.0,N1-9
62,224.8,A,23.6176408,90.60955061,,bridge,10062,N1,,24.14797,19930480.0,N1-9
63,485.0,N,23.61561409,90.61022678,0,link,10063,N1,,24.63297,19930480.0,N1-9
64,119.32,A,23.61358738,90.61090296,,bridge,10064,N1,,24.75229,19930480.0,N1-9
65,0.0,N,23.61358738,90.61090296,0,link,10065,N1,,24.75229,19930480.0,N1-9
66,119.48,A,23.61358738,90.61090296,,bridge,10066,N1,,24.871769999999998,19930480.0,N1-9
67,1312.0,N,23.60817349,90.61321733,0,link,10067,N1,,26.18377,19930480.0,N1-9
68,924.85,A,23.60275959,90.6155317,,bridge,10068,N1,,27.10862,19930480.0,N1-9
69,1722.0,N,23.59787074,90.62175082,0,link,10069,N1,,28.83062,19930480.0,N1-9
70,5.6,A,23.59298188,90.62796994,,bridge,10070,N1,,28.83622,19930480.0,N1-9
71,337.0,N,23.59189537,90.6291034,0,link,10071,N1,,29.17322,19930480.0,N1-9
72,5.5,A,23.59080885,90.63023686,,bridge,10072,N1,,29.178720000000002,19930480.0,N1-9
73,668.0,N,23.58856349,90.63237314,0,link,10073,N1,,29.84672,19930480.0,N1-9
74,5.6,A,23.58631812,90.63450942,,bridge,10074,N1,,29.852320000000002,19930480.0,N1-9
75,1195.0,N,23.58214907,90.63821436,0,link,10075,N1,,31.047320000000003,19930480.0,N1-10
76,172.1,A,23.57798002,90.64191931,,bridge,10076,N1,,31.219420000000003,19930480.0,N1-10
77,0.0,N,23.57798002,90.64191931,0,link,10077,N1,,31.219420000000003,19930480.0,N1-10
78,173.25,A,23.57798002,90.64191931,,bridge,10078,N1,,31.392670000000003,19930480.0,N1-10
79,823.0,N,23.57480533,90.64366762,0,link,10079,N1,,32.21567,19930480.0,N1-10
80,29.85,A,23.57163063,90.64541592,,bridge,10080,N1,,32.245520000000006,19930480.0,N1-10
81,0.0,N,23.57163063,90.64541592,0,link,10081,N1,,32.245520000000006,19930480.0,N1-10
82,29.77,A,23.57163063,90.64541592,,bridge,10082,N1,,32.275290000000005,19930480.0,N1-10
83,704.0,N,23.56881701,90.64701982,0,link,10083,N1,,32.979290000000006,19930480.0,N1-10
84,34.7,A,23.5660034,90.64862372,,bridge,10084,N1,,33.01399000000001,19930480.0,N1-10
85,1066.0,N,23.56259721,90.65218565,0,link,10085,N1,,34.07999000000001,19930480.0,N1-10
86,27.4,A,23.55919103,90.65574757,,bridge,10086,N1,,34.10739000000001,19930480.0,N1-10
87,564.0,N,23.55744966,90.65774449999999,0,link,10087,N1,,34.67139000000001,19930480.0,N1-10
88,29.85,A,23.55570829,90.65974142,,bridge,10088,N1,,34.70124000000001,19930480.0,N1-10
89,0.0,N,23.55570829,90.65974142,0,link,10089,N1,,34.70124000000001,19930480.0,N1-10
90,29.83,A,23.55570829,90.65974142,,bridge,10090,N1,,34.73107000000001,19930480.0,N1-10
91,649.0,N,23.55372524,90.66204765,0,link,10091,N1,,35.38007000000001,19930480.0,N1-10
92,29.87,A,23.55174219,90.66435388,,bridge,10092,N1,,35.40994000000001,19930480.0,N1-10
93,0.0,N,23.55174219,90.66435388,0,link,10093,N1,,35.40994000000001,19930480.0,N1-10
94,29.9,A,23.55174219,90.66435388,,bridge,10094,N1,,35.43984000000001,19930480.0,N1-10
95,656.0,N,23.54973997,90.66670464,0,link,10095,N1,,36.09584000000001,19930480.0,N1-11
96,9.1,A,23.54773774,90.66905541,,bridge,10096,N1,,36.104940000000006,19930480.0,N1-11
97,19.0,N,23.54768119,90.66912374,0,link,10097,N1,,36.123940000000005,19930480.0,N1-11
98,5.2,A,23.54762464,90.66919207,,bridge,10098,N1,,36.12914000000001,19930480.0,N1-11
99,795.0,N,23.54515504,90.67201064,0,link,10099,N1,,36.92414000000001,19930480.0,N1-11
100,72.49,A,23.54268543,90.67482921,,bridge,10100,N1,,36.99663000000001,19930480.0,N1-11
101,0.0,N,23.54268543,90.67482921,0,link,10101,N1,,36.99663000000001,19930480.0,N1-11
102,59.83,A,23.54268543,90.67482921,,bridge,10102,N1,,37.05646000000001,19930480.0,N1-11
103,520.0,N,23.54103822,90.67664350000001,0,link,10103,N1,,37.57646000000001,19930480.0,N1-11
104,5.1,C,23.53939102,90.67845779,,bridge,10104,N1,,37.58156000000001,19930480.0,N1-11
105,1070.0,N,23.5360831,90.68216395,0,link,10105,N1,,38.65156000000001,18981280.0,N1-12
106,9.5,A,23.53277519,90.68587011,,bridge,10106,N1,,38.66106000000001,18981280.0,N1-12
107,227.0,N,23.53208743,90.68665952,0,link,10107,N1,,38.88806000000001,18981280.0,N1-12
